Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6400.09,76801.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),VPC - us-east-1,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Reduced_Cost_Estimate,US East (N. Virginia),VPC - us-east-1,Network Address Translation (NAT) Gateway,0,263.25,3159.00,USD,,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),CloudFront - us-east-1,Amazon CloudFront,0,726.32,8715.84,USD,,"Data transfer out to internet (8 TB per month), Number of requests (HTTPS) (30000000 per month)"
Reduced_Cost_Estimate,US East (N. Virginia),S3 - us-east-1,S3 Standard,0,706.56,8478.72,USD,,S3 Standard storage (30 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),S3 - us-east-1,Data Transfer,0,0,0.00,USD,,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),RDS PostgreSQL - us-east-1,Amazon RDS for PostgreSQL,0,1792.7199999999998,21512.64,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB), Nodes (2), Instance Type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (2 TB)"
Reduced_Cost_Estimate,US East (N. Virginia),Web Server - us-east-1,Amazon EC2 ,0,2055.68,24668.16,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),Web Server - us-east-1,Amazon EC2 ,0,595.68,7148.16,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),ELB - us-east-1,Application Load Balancer,0,32.85,394.20,USD,,Number of Application Load Balancers on Outposts (2)
Reduced_Cost_Estimate,US East (N. Virginia),ElastiCache - us-east-1,Amazon ElastiCache,0,227.03,2724.36,USD,,"Nodes (1), Instance type (cache.m5.xlarge), Cache Engine (Redis), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Standard), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Reduce cost estimate
RDS Server: Change instance type
EC2 Server: Change instance type
CloudFront: Change data transfer out to internet and number of request(HTTPS)
